Code,CanonicalValue,LegacyValues
HT,HT - Communities & Classes & Races,HT - Communities / Classes / Races|HT - Social Sciences - Communities/Classes/Races
HV,HV - Criminology & Social Welfare,HV - Social Pathology / Social and Public Welfare / Criminology|HV - Social Sciences - Social Pathology/Social and Public Welfare/Criminology
HX,HX - Socialism & Communism & Anarchism,HX - Socialism / Communism / Anarchism|HX - Social Sciences - Socialism/Communism/Anarchism
J,J - Legislative & Executive Papers,J - General Legislative and Executive Papers|J - Political Science - General Legislative and Executive Papers
JA,JA - Political Science General,JA - Political Science - Political Science (General)
JC,JC - Political Theory,JC - Political Science - Political Theory
JF,JF - Political Institutions & Administration,JF - Political Institutions and Public Administration|JF - Political Science - Political Institutions and Public Administration
JJ,JJ - Political Administration: North America,JJ - Political Institutions and Public Administration / North America|JJ - Political Science - Political Institutions and Public Administration (North America)
JK,JK - Political Administration: United States,JK - Political Institutions and Public Administration / United States|JK - Political Science - Political Institutions and Public Administration (United States)
JL,JL - Political Administration: Canada & Latin America,JL - Political Institutions and Public Administration / Canada / Latin America / Etc|JL - Political Science - Political Institutions and Public Administration (Canada/Latin America/etc)
JN,JN - Political Administration: Europe,JN - Political Institutions and Public Administration / Europe|JN - Political Science - Political Institutions and Public Administration (Europe)|JN - Political Science - Political Institutions and Public Administration - Europe
JQ,JQ - Political Administration: Asia & Africa & Pacific,JQ - Political Institutions and Public Administration / Asia / Africa / Australia / Pacific Area / Etc|JQ - Political Science - Political Institutions and Public Administration (Asia/Africa/Australia/Pacific Area/etc)
JS,JS - Local & Municipal Government,JS - Local Government / Municipal Government|JS - Political Science - Local Government/Municipal Government
JV,JV - Colonization & Immigration,JV - Colonies and Colonization / Emigration and Immigration / International Migration|JV - Political Science - Colonies and Colonization/Emigration and Immigration/International Migration
JZ,JZ - International Relations,JZ - Political Science - International Relations
K,K - Law: General & Jurisprudence,K - Law General / Comparative and Uniform Law / Jurisprudence|K - Law - Law in General/Comparative and Uniform Law/Jurisprudence
KB,KB - Religious Law: General,KB - Religious Law General / Comparative Religious Law / Jurisprudence|KB - Law - Religious Law in General/Comparative Religious Law/Jurisprudence
KBM,KBM - Jewish Law,KBM - Law - Jewish Law
KBP,KBP - Islamic Law,KBP - Law - Islamic Law
KBR,KBR - History of Canon Law,KBR - Law - History of Canon Law
KBU,KBU - Catholic Church Law & The Holy See,KBU - Law of the Roman Catholic Church / The Holy See|KBU - Law - Law of the Roman Catholic Church/The Holy See
KD,KD-KDK - Law: United Kingdom & Ireland,KD - Law - United Kingdom and Ireland
KDK,KD-KDK - Law: United Kingdom & Ireland,KDK - Law - United Kingdom and Ireland
KD-KDK,KD-KDK - Law: United Kingdom & Ireland,KD-KDK - United Kingdom and Ireland
KDZ,KDZ - Law: North America,KDZ - America / North America|KDZ - Law - America/North America
KE,KE - Law: Canada,KE - Law - Canada
KF,KF - Law: United States,KF - Law - United States
KG-KKH,KG-KKH - Law: Latin America & Caribbean,KG-KKH - Latin America / Mexico and Central America / West Indies / Caribbean Area|KG - Law - Latin America - Mexico and Central America - West Indies/Caribbean Area
KJ-KKZ,KJ-KKZ - Law: Europe,KJ-KKZ - Europe|KKZ - Law - Europe
KL-KWX,KL-KWX - Law: Asia & Africa & Pacific,KL-KWX - Asia and Eurasia / Africa / Pacific Area / Antarctica|KWX - Law - Asia and Eurasia/Africa/Pacific Area/Antarctica
KZ,KZ - Law of Nations,KZ - Law - Law of Nations
L,L - Education General,L - Education - Education (General)
LA,LA - History of Education,LA - Education - History of Education
LB,LB - Theory & Practice of Education,LB - Theory and Practice of Education|LB - Education - Theory and Practice of Education
LC,LC - Special Aspects of Education,LC - Education - Special Aspects of Education
LD,LD - Educational Institutions: United States,LD - Individual Institutions / United States|LD - Education - Individual Institutions - United States
LE,LE - Educational Institutions: Americas (excl. US),LE - Individual Institutions / America Except United States|LE - Education - Individual Institutions - America (Except United States)
LF,LF - Educational Institutions: Europe,LF - Individual Institutions / Europe|LF - Education - Individual Institutions - Europe
LG,LG - Educational Institutions: Asia & Africa & Pacific,LG - Individual Institutions / Asia / Africa / Indian Ocean Islands / Australia / New Zealand / Pacific Islands|LG - Education - Individual Institutions - Asia/Africa/Indian Ocean Islands/Australia/New Zealand/Pacific Islands
LH,LH - College & School Publications,LH - College and School Magazines and Papers|LH - Education - College and School Magazines and Papers
LJ,LJ - Student Organizations: United States,LJ - Student Fraternities and Societies / United States|LJ - Education - Student Fraternities and Societies/United States
LT,LT - Textbooks,LT - Education - Textbooks
M,M - Music,M - Music - Music
ML,ML - Literature on Music,ML - Music - Literature on Music
MT,MT - Music Instruction & Study,MT - Instruction and Study|MT - Music - Instruction and Study
N,N - Visual Arts,N - Fine Arts - Visual Arts
NA,NA - Architecture,NA - Fine Arts - Architecture
NB,NB - Sculpture,NB - Fine Arts - Sculpture
NC,NC - Drawing & Design & Illustration,NC - Drawing / Design / Illustration|NC - Fine Arts - Drawing/Design/Illustration
ND,ND - Painting,ND - Fine Arts - Painting
NE,NE - Print Media,NE - Fine Arts - Print Media
NK,NK - Decorative Arts,NK - Fine Arts - Decorative Arts
NX,NX - Arts: General,NX - Arts in General|NX - Fine Arts - Arts in General
